.Category|Name|Value|Priority|Configuration
SystemServices|Downloaded Maps Manager (MapsBroker)|Not Configured|Undefined|Unknown
SystemServices|Geolocation Service (lfsvc)|Manual|Undefined|Unknown
SystemServices|IIS Admin Service (IISADMIN)|Not Configured|Undefined|Unknown
SystemServices|Infrared monitor service (irmon)|Manual|Undefined|Unknown
SystemServices|Link-Layer Topology Discovery Mapper (lltdsvc)|Manual|Undefined|Unknown
SystemServices|LxssManager (LxssManager)|Manual|Undefined|Unknown
SystemServices|Microsoft FTP Service (FTPSVC)|Not Configured|Undefined|Unknown
SystemServices|Microsoft iSCSI Initiator Service (MSiSCSI)|Manual|Undefined|Unknown
SystemServices|OpenSSH SSH Server (sshd)|Manual|Undefined|Unknown
SystemServices|Peer Name Resolution Protocol (PNRPsvc)|Manual|Undefined|Unknown
SystemServices|Peer Networking Grouping (p2psvc)|Manual|Undefined|Unknown
SystemServices|Peer Networking Identity Manager (p2pimsvc)|Manual|Undefined|Unknown
SystemServices|PNRP Machine Name Publication Service (PNRPAutoReg)|Manual|Undefined|Unknown
SystemServices|Print Spooler (Spooler)|Not Configured|Undefined|Unknown
SystemServices|Problem Reports and Solutions Control Panel Support (wercplsupport)|Manual|Undefined|Unknown
SystemServices|Remote Access Auto Connection Manager (RasAuto)|Manual|Undefined|Unknown
SystemServices|Remote Desktop Configuration (SessionEnv)|Manual|Undefined|Unknown
SystemServices|Remote Desktop Services (TermService)|Manual|Undefined|Unknown
SystemServices|Remote Desktop Services UserMode Port Redirector (UmRdpService)|Manual|Undefined|Unknown
SystemServices|Remote Procedure Call (RPC) Locator (RpcLocator)|Manual|Undefined|Unknown
SystemServices|Remote Registry (RemoteRegistry)|Disabled|Undefined|Unknown
SystemServices|Routing and Remote Access (RemoteAccess)|Disabled|Undefined|Unknown
SystemServices|Server (LanmanServer)|Not Configured|Undefined|Unknown
SystemServices|Simple TCP/IP Services (simptcp)|Not Configured|Undefined|Unknown
SystemServices|SNMP Service (SNMP)|Not Configured|Undefined|Unknown
SystemServices|Special Administration Console Helper (sacsvr)|Manual|Undefined|Unknown
SystemServices|SSDP Discovery (SSDPSRV)|Manual|Undefined|Unknown
SystemServices|UPnP Device Host (upnphost)|Manual|Undefined|Unknown
SystemServices|Web Management Service (WMSvc)|Manual|Undefined|Unknown
SystemServices|Windows Error Reporting Service (WerSvc)|Manual|Undefined|Unknown
SystemServices|Windows Event Collector (Wecsvc)|Manual|Undefined|Unknown
SystemServices|Windows Media Player Network Sharing Service (WMPNetworkSvc)|Manual|Undefined|Unknown
SystemServices|Windows Mobile Hotspot Service (icssvc)|Manual|Undefined|Unknown
SystemServices|Windows Push Notifications System Service (WpnService)|Not Configured|Undefined|Unknown
SystemServices|Windows PushToInstall Service (PushToInstall)|Manual|Undefined|Unknown
SystemServices|Windows Remote Management (WS-Management) (WinRM)|Not Configured|Undefined|Unknown
SystemServices|World Wide Web Publishing Service (W3SVC)|Not Configured|Undefined|Unknown
SystemServices|Xbox Accessory Management Service (XboxGipSvc)|Disabled|Undefined|Unknown
SystemServices|Xbox Live Auth Manager (XblAuthManager)|Manual|Undefined|Unknown
SystemServices|Xbox Live Game Save (XblGameSave)|Manual|Undefined|Unknown
SystemServices|Xbox Live Networking Service (XboxNetApiSvc)|Manual|Undefined|Unknown
UserAccountControl|User Account Control: Admin Approval Mode for the Built-in Administrator account|0|Undefined|Unknown
UserAccountControl|User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode|5|Undefined|Unknown
UserAccountControl|User Account Control: Behavior of the elevation prompt for standard users|3|Undefined|Unknown
UserAccountControl|User Account Control: Detect application installations and prompt for elevation|1|Undefined|Unknown
UserAccountControl|User Account Control: Only elevate UIAccess applications that are installed in secure locations|1|Undefined|Unknown
UserAccountControl|User Account Control: Run all administrators in Admin Approval Mode|1|Undefined|Unknown
UserAccountControl|User Account Control: Switch to the secure desktop when prompting for elevation|1|Undefined|Unknown
UserAccountControl|User Account Control: Virtualize file and registry write failures to per-user locations|1|Undefined|Unknown
UserRightAssignment|Access Credential Manager as a trusted caller|Not configured|Undefined|Unknown
UserRightAssignment|Access this computer from the network|BUILTIN\Administrators BUILTIN\Remote Desktop Users|Undefined|Unknown
UserRightAssignment|Act as part of the operating system|Not configured|Undefined|Unknown
UserRightAssignment|Adjust memory quotas for a process|NT AUTHORITY\LOCAL SERVICE NT AUTHORITY\NETWORK SERVICE BUILTIN\Administrators IIS APPPOOL\Classic .NET AppPool IIS APPPOOL\.NET v4.5 IIS APPPOOL\.NET v2.0 IIS APPPOOL\.NET v4.5 Classic IIS APPPOOL\.NET v2.0 Classic|Undefined|Unknown
UserRightAssignment|Allow log in through Remote desktop services|BUILTIN\Administrators BUILTIN\Remote Desktop Users|Undefined|Unknown
UserRightAssignment|Allow log on locally|Guest BUILTIN\Administrators BUILTIN\Users BUILTIN\Backup Operators|Undefined|Unknown
UserRightAssignment|Back up files and directories|BUILTIN\Administrators BUILTIN\Backup Operators|Undefined|Unknown
UserRightAssignment|Change the system time|NT AUTHORITY\LOCAL SERVICE BUILTIN\Administrators|Undefined|Unknown
UserRightAssignment|Change the time zone|NT AUTHORITY\LOCAL SERVICE BUILTIN\Administrators BUILTIN\Users|Undefined|Unknown
UserRightAssignment|Create a pagefile|BUILTIN\Administrators|Undefined|Unknown
UserRightAssignment|Create a token object|Not configured|Undefined|Unknown
UserRightAssignment|Create global objects|NT AUTHORITY\LOCAL SERVICE NT AUTHORITY\NETWORK SERVICE BUILTIN\Administrators NT AUTHORITY\SERVICE|Undefined|Unknown
UserRightAssignment|Create permanent shared objects|Not configured|Undefined|Unknown
UserRightAssignment|Create symbolic links|BUILTIN\Administrators NT VIRTUAL MACHINE\Virtual Machines|Undefined|Unknown
UserRightAssignment|Debug programs|BUILTIN\Administrators|Undefined|Unknown
UserRightAssignment|Deny access to this computer from the network|Guest|Undefined|Unknown
UserRightAssignment|Deny log on as a batch job|Not configured|Undefined|Unknown
UserRightAssignment|Deny log on as a service|Not configured|Undefined|Unknown
UserRightAssignment|Deny log on locally|Guest|Undefined|Unknown
UserRightAssignment|Deny log on through Remote Desktop Services|Not configured|Undefined|Unknown
UserRightAssignment|Enable computer and user accounts to be trusted for delegation|Not configured|Undefined|Unknown
UserRightAssignment|Force shutdown from a remote system|BUILTIN\Administrators|Undefined|Unknown
UserRightAssignment|Generate security audits|NT AUTHORITY\LOCAL SERVICE NT AUTHORITY\NETWORK SERVICE IIS APPPOOL\Classic .NET AppPool IIS APPPOOL\.NET v4.5 IIS APPPOOL\.NET v2.0 IIS APPPOOL\.NET v4.5 Classic IIS APPPOOL\.NET v2.0 Classic|Undefined|Unknown
UserRightAssignment|Impersonate a client after authentication|NT AUTHORITY\LOCAL SERVICE NT AUTHORITY\NETWORK SERVICE BUILTIN\Administrators BUILTIN\IIS_IUSRS NT AUTHORITY\SERVICE|Undefined|Unknown
UserRightAssignment|Increase scheduling priority|BUILTIN\Administrators Window Manager\Window Manager Group|Undefined|Unknown
UserRightAssignment|Load and unload device drivers|BUILTIN\Administrators|Undefined|Unknown
UserRightAssignment|Lock pages in memory|Not configured|Undefined|Unknown
UserRightAssignment|Log on as a batch job|BUILTIN\Administrators BUILTIN\Backup Operators BUILTIN\Performance Log Users BUILTIN\IIS_IUSRS|Undefined|Unknown
UserRightAssignment|Log on as a service|NT SERVICE\ALL SERVICES IIS APPPOOL\Classic .NET AppPool IIS APPPOOL\.NET v4.5 IIS APPPOOL\.NET v2.0 IIS APPPOOL\.NET v4.5 Classic IIS APPPOOL\.NET v2.0 Classic NT VIRTUAL MACHINE\Virtual Machines|Undefined|Unknown
UserRightAssignment|Manage auditing and security log|BUILTIN\Administrators|Undefined|Unknown
UserRightAssignment|Modify an object label|Not configured|Undefined|Unknown
UserRightAssignment|Modify firmware environment values|BUILTIN\Administrators|Undefined|Unknown
UserRightAssignment|Perform volume maintenance tasks|BUILTIN\Administrators|Undefined|Unknown
UserRightAssignment|Profile single process|BUILTIN\Administrators|Undefined|Unknown
UserRightAssignment|Profile system performance|BUILTIN\Administrators NT SERVICE\WdiServiceHost|Undefined|Unknown
UserRightAssignment|Replace a process level token|NT AUTHORITY\LOCAL SERVICE NT AUTHORITY\NETWORK SERVICE IIS APPPOOL\Classic .NET AppPool IIS APPPOOL\.NET v4.5 IIS APPPOOL\.NET v2.0 IIS APPPOOL\.NET v4.5 Classic IIS APPPOOL\.NET v2.0 Classic|Undefined|Unknown
UserRightAssignment|Restore files and directories|BUILTIN\Administrators BUILTIN\Backup Operators|Undefined|Unknown
UserRightAssignment|Shut down the system|WmsOperators BUILTIN\Administrators BUILTIN\Users BUILTIN\Backup Operators|Undefined|Unknown
UserRightAssignment|Take ownership of files or other objects|BUILTIN\Administrators|Undefined|Unknown
